# onset(ms)	end(ms)	label
28235	28282	L0T28235M32L0_L1T28235M9L1_
28282	28328	L0T28282M32L0_
28328	28375	L0T28328M32L0_
28375	28421	L0T28375M32L0_
28421	28468	L0T28421M32L0_
28468	28514	L0T28468M32L0_
28514	28561	L0T28514M32L0_
28561	28607	L0T28561M32L0_
28607	28653	L0T28607M32L0_
28653	28700	L0T28653M32L0_
28700	28746	L0T28700M32L0_
28746	28793	L0T28746M32L0_
28793	28839	L0T28793M0L0_L1T28793M0L1_L2T28793M1L2_
28839	28886	L0T28839M0L0_
28886	28932	L0T28886M0L0_
28932	28979	L0T28932M0L0_
28979	29025	L0T28979M0L0_
29025	29071	L0T29025M0L0_
29071	29118	L0T29071M0L0_
29118	29164	L0T29118M10L0_L1T29118M0L1_
29164	29211	L0T29164M10L0_
29211	29257	L0T29211M10L0_
29257	29304	L0T29257M10L0_
29304	29350	L0T29304M10L0_
29350	29396	L0T29350M10L0_
29396	29443	L0T29396M10L0_
29443	29489	L0T29443M10L0_
29489	29536	L0T29489M10L0_
29536	29582	L0T29536M10L0_
29582	29629	L0T29582M12L0_L1T29582M5L1_L2T29582M1L2_
29629	29675	L0T29629M12L0_
29675	29722	L0T29675M12L0_
29722	29768	L0T29722M3L0_L1T29722M2L1_
29768	29814	L0T29768M3L0_
29814	29861	L0T29814M5L0_L1T29814M0L1_
29861	29907	L0T29861M10L0_
29907	29954	L0T29907M12L0_L1T29907M0L1_
29954	30000	L0T29954M0L0_
30000	30047	L0T30000M0L0_
30047	30093	L0T30047M13L0_L1T30047M2L1_L2T30047M1L2_
30093	30140	L0T30093M3L0_
30140	30186	L0T30140M13L0_
30186	30232	L0T30186M3L0_
30232	30279	L0T30232M13L0_
30279	30325	L0T30279M3L0_
30325	30372	L0T30325M13L0_
30372	30418	L0T30372M3L0_
30418	30465	L0T30418M13L0_
30465	30511	L0T30465M3L0_
30511	30557	L0T30511M13L0_
30557	30604	L0T30557M3L0_
30604	30650	L0T30604M3L0_
30650	30697	L0T30650M3L0_
30697	30743	L0T30697M3L0_
30743	30790	L0T30743M3L0_
30790	30836	L0T30790M3L0_
30836	30883	L0T30836M3L0_
30883	30929	L0T30883M3L0_
30929	30975	L0T30929M3L0_
30975	31022	L0T30975M3L0_
31022	31068	L0T31022M3L0_
31068	31115	L0T31068M3L0_
31115	31161	L0T31115M3L0_
31161	31208	L0T31161M3L0_
31208	31254	L0T31208M3L0_
31254	31300	L0T31254M3L0_
31300	31347	L0T31300M3L0_
31347	31393	L0T31347M3L0_
31393	31440	L0T31393M3L0_
31440	31486	L0T31440M3L0_
31486	31533	L0T31486M3L0_
31533	31579	L0T31533M33L0_L1T31533M10L1_
31579	31626	L0T31579M33L0_
31626	31672	L0T31626M20L0_L1T31626M10L1_
31672	31718	L0T31672M33L0_
31718	31765	L0T31718M33L0_
31765	31811	L0T31765M20L0_L1T31765M6L1_L2T31765M1L2_
31811	31858	L0T31811M34L0_
31858	31904	L0T31858M6L0_L1T31858M8L1_
31904	31951	L0T31904M3L0_
31951	31997	L0T31951M6L0_L1T31951M8L1_
31997	32044	L0T31997M35L0_
32044	32090	L0T32044M3L0_L1T32044M8L1_
32090	32136	L0T32090M13L0_
32136	32183	L0T32136M21L0_L1T32136M0L1_L2T32136M1L2_
32183	32229	L0T32183M21L0_
32229	32276	L0T32229M21L0_
32276	32322	L0T32276M21L0_
32322	32369	L0T32322M21L0_
32369	32415	L0T32369M21L0_
32415	32461	L0T32415M36L0_L1T32415M8L1_
32461	32508	L0T32461M36L0_
32508	32554	L0T32508M36L0_
32554	32601	L0T32554M36L0_
32601	32647	L0T32601M36L0_
32647	32694	L0T32647M36L0_
32694	32740	L0T32694M36L0_
32740	32787	L0T32740M36L0_
32787	32833	L0T32787M36L0_
32833	32879	L0T32833M36L0_
32879	32926	L0T32879M36L0_
32926	32972	L0T32926M36L0_
32972	33019	L0T32972M36L0_
33019	33065	L0T33019M37L0_L1T33019M4L1_L2T33019M1L2_
33065	33112	L0T33065M24L0_
33112	33158	L0T33112M24L0_
33158	33205	L0T33158M24L0_
33205	33251	L0T33205M24L0_
33251	33297	L0T33251M24L0_
33297	33344	L0T33297M24L0_
33344	33390	L0T33344M24L0_
33390	33437	L0T33390M24L0_
33437	33483	L0T33437M24L0_
33483	33530	L0T33483M24L0_
33530	33576	L0T33530M24L0_
33576	33622	L0T33576M38L0_L1T33576M11L1_
33622	33669	L0T33622M39L0_
33669	33715	L0T33669M38L0_L1T33669M1L1_
33715	33762	L0T33715M25L0_
33762	33808	L0T33762M25L0_
33808	33855	L0T33808M25L0_
33855	33901	L0T33855M25L0_
33901	33948	L0T33901M25L0_
33948	33994	L0T33948M25L0_
33994	34040	L0T33994M25L0_
34040	34087	L0T34040M25L0_
34087	34133	L0T34087M25L0_
34133	34180	L0T34133M25L0_
34180	34226	L0T34180M25L0_
34226	34273	L0T34226M25L0_
34273	34319	L0T34273M25L0_
34319	34366	L0T34319M25L0_
34366	34412	L0T34366M40L0_L1T34366M2L1_L2T34366M1L2_
34412	34458	L0T34412M27L0_
34458	34505	L0T34458M27L0_
34505	34551	L0T34505M27L0_
34551	34598	L0T34551M27L0_
34598	34644	L0T34598M27L0_
34644	34691	L0T34644M27L0_
34691	34737	L0T34691M27L0_
34737	34783	L0T34737M27L0_
34783	34830	L0T34783M27L0_
34830	34876	L0T34830M28L0_L1T34830M6L1_
34876	34923	L0T34876M28L0_
